country_name,region,incomegroup,year,life_expectancy_world_bank,prevelance_of_undernourishment,co2,health_expenditure_per,education_expenditure_per,unemployment,sanitation,injuries,communicable,noncommunicable,year_dt
Nicaragua,Latin_America_&_Caribbean,Lower_middle_income,2001,69.93,27.5,3930.0,5.48,4.08,7.45,43.99,168251.13,372628.6,679353.55,2001
Netherlands,Europe_&_Central_Asia,High_income,2001,78.19,2.5,167120.0,8.06,4.7,2.12,97.44,328011.25,241782.63,3924951.1,2001
Norway,Europe_&_Central_Asia,High_income,2001,78.79,2.5,34720.0,8.02,6.83,3.74,58.89,126946.72,61441.66,1128969.34,2001
Nepal,South_Asia,Lower_middle_income,2001,62.94,23.5,3460.0,3.8,3.71,1.75,11.35,847450.08,6570763.59,3917088.08,2001
New_Zealand,East_Asia_&_Pacific,High_income,2001,78.69,2.5,31620.0,7.58,6.56,5.43,74.93,150122.03,43015.81,848323.44,2001
Oman,Middle_East_&_North_Africa,High_income,2001,72.58,12.3,28030.0,3.08,4.02,4.12,86.51,134320.24,87948.26,336892.06,2001
Pakistan,South_Asia,Lower_middle_income,2001,63.07,21.1,99840.0,2.71,2.49,0.56,32.1,4281933.12,58084619.18,27319818.25,2001
Panama,Latin_America_&_Caribbean,High_income,2001,75.23,24.5,6220.0,6.83,4.11,3.82,62.86,97752.13,154316.58,436296.46,2001
Peru,Latin_America_&_Caribbean,Upper_middle_income,2001,71.5,21.5,26540.0,4.72,3.04,5.03,12.33,1024199.73,2402121.42,3770040.66,2001
Philippines,East_Asia_&_Pacific,Lower_middle_income,2001,68.83,18.7,70480.0,2.85,2.92,3.7,43.52,2887545.85,9955777.05,13181817.63,2001
Papua_New_Guinea,East_Asia_&_Pacific,Lower_middle_income,2001,59.49,26.3,3390.0,2.3,1.92,2.8,47.86,259963.78,1514582.61,1114225.21,2001
Poland,Europe_&_Central_Asia,High_income,2001,74.2,2.5,293630.0,5.67,5.32,18.37,79.9,1736920.98,592229.85,10233665.17,2001
Portugal,Europe_&_Central_Asia,High_income,2001,76.81,2.5,61380.0,8.63,5.34,3.83,50.84,336954.98,237045.28,2897529.91,2001
Paraguay,Latin_America_&_Caribbean,Upper_middle_income,2001,70.79,10.5,3610.0,5.61,3.83,6.21,44.94,175296.01,358853.73,759227.57,2001
Qatar,Middle_East_&_North_Africa,High_income,2001,77.61,2.7,28650.0,2.32,3.2,0.85,71.1,28021.47,15181.01,86439.0,2001
Romania,Europe_&_Central_Asia,High_income,2001,71.16,2.5,95230.0,4.38,3.27,6.56,51.99,1013547.64,737648.7,6958880.79,2001
Rwanda,Sub-Saharan_Africa,Low_income,2001,49.94,38.5,560.0,3.89,4.83,0.84,9.4,622884.72,5434698.89,1375113.91,2001
Saudi_Arabia,Middle_East_&_North_Africa,High_income,2001,72.76,4.9,254090.0,4.46,7.72,4.62,37.29,1154674.35,982640.87,3255472.18,2001
Sudan,Sub-Saharan_Africa,Low_income,2001,58.86,21.5,6250.0,3.36,1.43,15.18,9.4,1607027.1,9538031.34,6011769.22,2001
Senegal,Sub-Saharan_Africa,Lower_middle_income,2001,58.18,24.1,4460.0,3.68,2.47,5.61,14.29,319771.29,4508804.21,1639502.57,2001
Singapore,East_Asia_&_Pacific,High_income,2001,78.25,2.5,42030.0,3.16,3.54,3.76,100.0,84897.01,63745.56,602137.61,2001
Solomon_Islands,East_Asia_&_Pacific,Lower_middle_income,2001,67.82,13.3,250.0,6.61,9.81,1.91,47.86,30629.39,99375.76,121254.14,2001
Sierra_Leone,Sub-Saharan_Africa,Low_income,2001,40.37,50.7,440.0,10.97,3.43,3.46,9.03,215749.14,3974083.31,919964.08,2001
El_Salvador,Latin_America_&_Caribbean,Lower_middle_income,2001,69.16,7.2,5870.0,8.82,3.73,6.96,43.99,448029.97,387285.02,950453.19,2001
Serbia,Europe_&_Central_Asia,Upper_middle_income,2001,72.23,3.1,45000.0,6.86,4.05,12.8,22.41,384910.03,202802.18,3046386.32,2001
Sao_Tome_and_Principe,Sub-Saharan_Africa,Lower_middle_income,2001,62.02,14.7,50.0,10.83,5.2,15.73,13.73,3361.28,39262.77,24498.78,2001
Suriname,Latin_America_&_Caribbean,Upper_middle_income,2001,67.91,11.8,1520.0,4.1,5.53,11.91,29.71,19663.87,52180.64,92625.36,2001
Slovenia,Europe_&_Central_Asia,High_income,2001,75.76,2.5,15380.0,7.88,5.76,5.68,26.72,104446.68,27472.9,516992.02,2001
Sweden,Europe_&_Central_Asia,High_income,2001,79.8,2.5,52500.0,7.9,6.62,4.73,93.05,234811.5,100823.72,2289027.28,2001
Eswatini,Sub-Saharan_Africa,Lower_middle_income,2001,45.8,10.5,610.0,5.14,4.84,24.83,21.3,65303.13,725190.42,180150.72,2001
Chad,Sub-Saharan_Africa,Low_income,2001,47.79,38.8,340.0,5.29,2.43,0.81,8.63,428255.62,7738497.78,1490869.54,2001
Togo,Sub-Saharan_Africa,Low_income,2001,53.55,31.3,1180.0,2.89,3.77,4.02,5.72,190442.49,2816445.41,765884.83,2001
Thailand,East_Asia_&_Pacific,Upper_middle_income,2001,70.83,17.3,173160.0,3.03,4.82,2.6,20.05,3853836.67,4314043.74,11879825.13,2001
Tajikistan,Europe_&_Central_Asia,Lower_middle_income,2001,62.81,2.5,2150.0,4.58,2.38,14.77,51.39,250407.96,1135771.66,1064910.53,2001
Turkmenistan,Europe_&_Central_Asia,Upper_middle_income,2001,63.84,6.8,39120.0,8.15,3.08,10.68,40.62,168597.21,535314.51,850293.42,2001
Tonga,East_Asia_&_Pacific,Upper_middle_income,2001,69.72,4.0,90.0,3.54,4.48,4.34,33.24,2333.31,6968.64,18837.48,2001
Trinidad_and_Tobago,Latin_America_&_Caribbean,High_income,2001,69.65,10.0,11620.0,4.03,3.07,10.88,62.86,48363.16,79780.48,299839.38,2001
Tunisia,Middle_East_&_North_Africa,Lower_middle_income,2001,73.42,4.4,21570.0,5.1,6.2,14.4,55.13,334001.48,452896.66,1755917.59,2001
Tanzania,Sub-Saharan_Africa,Lower_middle_income,2001,51.44,33.1,3130.0,4.24,3.65,2.99,5.92,1057619.26,23531447.73,5500812.39,2001
Uganda,Sub-Saharan_Africa,Low_income,2001,47.22,28.5,1300.0,5.04,2.13,3.27,9.4,912793.79,20173728.72,3704969.74,2001
Ukraine,Europe_&_Central_Asia,Lower_middle_income,2001,67.84,3.0,300550.0,5.73,4.53,11.06,42.36,3794205.08,1475901.04,18914355.11,2001
Uruguay,Latin_America_&_Caribbean,High_income,2001,74.94,3.6,4950.0,9.8,2.8,15.05,62.86,132065.56,98023.06,813401.72,2001
United_States,North_America,High_income,2001,76.84,2.5,5748260.0,13.16,4.93,4.73,97.57,9309465.84,5130329.57,75084511.16,2001
Uzbekistan,Europe_&_Central_Asia,Lower_middle_income,2001,67.37,17.9,125700.0,5.55,5.74,11.2,51.39,1069725.16,2865791.81,5317644.42,2001
Vietnam,East_Asia_&_Pacific,Lower_middle_income,2001,73.23,19.7,56720.0,4.51,4.81,2.76,47.86,2704748.48,5466480.61,12763734.45,2001
Vanuatu,East_Asia_&_Pacific,Lower_middle_income,2001,67.58,7.5,90.0,3.39,8.95,1.88,47.86,9316.87,27165.72,40980.94,2001
Samoa,East_Asia_&_Pacific,Lower_middle_income,2001,69.1,3.5,160.0,3.93,3.83,4.96,47.82,6181.01,9353.72,35417.63,2001
Zambia,Sub-Saharan_Africa,Low_income,2001,44.62,28.5,1840.0,6.55,3.75,13.51,9.4,391890.74,9409758.14,1678493.06,2001
Angola,Sub-Saharan_Africa,Lower_middle_income,2002,47.7,63.2,15689.9995803833,3.33,2.92,3.96,21.3,1218390.06,11126180.82,2725500.21,2002
Albania,Europe_&_Central_Asia,Upper_middle_income,2002,74.58,6.1,3759.99999046326,6.91,3.12,17.9,40.81,111169.56,128986.61,544332.18,2002
United_Arab_Emirates,Middle_East_&_North_Africa,High_income,2002,74.76,3.8,99150.0015258789,2.72,3.87,2.65,74.57,152185.29,67064.59,507749.17,2002
Argentina,Latin_America_&_Caribbean,Upper_middle_income,2002,73.93,3.8,117470.001220703,7.39,4.02,19.59,48.26,1399269.32,1557396.78,8194861.85,2002
Armenia,Europe_&_Central_Asia,Upper_middle_income,2002,72.11,24.5,3119.99988555908,7.61,2.14,10.78,46.43,98830.06,115370.74,774712.2,2002
Antigua_and_Barbuda,Latin_America_&_Caribbean,High_income,2002,74.4,4.4,389.999985694885,5.29,3.4,7.41,62.86,2182.35,3199.12,14520.23,2002
Australia,East_Asia_&_Pacific,High_income,2002,79.94,2.5,353369.995117188,7.89,5.1,6.37,58.79,612146.16,208508.22,4204336.65,2002
Austria,Europe_&_Central_Asia,High_income,2002,78.68,2.5,69370.002746582,9.39,5.52,4.85,99.68,239073.82,77002.74,2109744.02,2002
Azerbaijan,Europe_&_Central_Asia,Upper_middle_income,2002,67.39,13.4,26180.0003051758,2.73,3.15,10.04,20.52,232758.51,872912.98,1853916.87,2002
Burundi,Sub-Saharan_Africa,Low_income,2002,50.81,28.5,209.999993443489,6.47,3.0,1.59,9.4,1282394.72,4951643.91,1112144.03,2002
Belgium,Europe_&_Central_Asia,High_income,2002,78.08,2.5,110849.998474121,8.32,6.44,6.91,73.84,393261.55,161839.29,2717178.84,2002
Benin,Sub-Saharan_Africa,Lower_middle_income,2002,56.02,15.5,2180.0000667572,3.04,2.16,0.69,21.3,298954.2,4186075.43,1223108.08,2002
Burkina_Faso,Sub-Saharan_Africa,Low_income,2002,51.38,20.5,959.999978542328,2.97,4.02,2.73,9.4,552452.54,10154459.49,2468439.93,2002
Bangladesh,South_Asia,Lower_middle_income,2002,66.43,15.1,27430.0003051758,2.26,2.02,3.9,19.82,4902787.92,28077045.24,20912715.8,2002
Bulgaria,Europe_&_Central_Asia,Upper_middle_income,2002,71.87,4.2,43599.9984741211,7.08,3.39,18.11,50.7,366483.94,174906.52,3104930.18,2002
Bahrain,Middle_East_&_North_Africa,High_income,2002,74.82,2.7,17219.9993133545,3.85,2.65,1.11,70.6,19515.94,15208.3,111236.86,2002
Belarus,Europe_&_Central_Asia,Upper_middle_income,2002,68.06,2.7,51840.0001525879,5.62,4.98,10.91,84.29,857464.44,223663.05,3764341.1,2002
Belize,Latin_America_&_Caribbean,Upper_middle_income,2002,69.27,5.4,519.999980926514,4.71,6.61,10.04,38.16,13479.38,20002.73,39082.3,2002
Bolivia,Latin_America_&_Caribbean,Lower_middle_income,2002,63.64,26.9,8300.00019073486,4.9,8.26,2.49,29.82,428703.95,1530579.24,1609824.49,2002
Brazil,Latin_America_&_Caribbean,Upper_middle_income,2002,70.81,9.3,317760.009765625,8.7,3.75,9.37,36.59,9428323.62,13536488.62,36873444.6,2002
Barbados,Latin_America_&_Caribbean,High_income,2002,77.53,6.2,1370.00000476837,5.86,5.88,10.32,62.86,6726.88,11384.8,62555.28,2002
Bhutan,South_Asia,Lower_middle_income,2002,62.73,14.4,239.999994635582,4.6,5.98,1.89,62.87,22168.94,142738.21,107126.43,2002
Central_African_Republic,Sub-Saharan_Africa,Low_income,2002,44.06,40.1,250.0,4.23,1.52,5.8,19.59,317535.17,3668952.32,762351.52,2002
Canada,North_America,High_income,2002,79.49,2.5,524349.975585938,8.86,4.99,7.66,77.58,820102.01,375367.89,6743004.03,2002
Switzerland,Europe_&_Central_Asia,High_income,2002,80.39,2.5,43569.9996948242,9.85,5.16,2.92,99.62,243623.83,81585.27,1737453.48,2002
Chile,Latin_America_&_Caribbean,High_income,2002,76.89,3.2,49119.9989318848,7.27,4.08,10.17,51.43,518229.08,311721.03,2864361.51,2002
China,East_Asia_&_Pacific,Upper_middle_income,2002,72.06,9.4,3810060.05859375,4.38,3.67,4.24,14.37,46328146.65,45512557.35,278438272.1,2002
Cote_d'Ivoire,Sub-Saharan_Africa,Lower_middle_income,2002,49.48,21.0,6840.00015258789,5.9,2.81,5.03,21.3,745148.93,12966203.76,2841395.04,2002
Cameroon,Sub-Saharan_Africa,Lower_middle_income,2002,51.54,20.7,5130.00011444092,4.29,2.66,6.7,21.3,641882.39,10218244.26,2628193.11,2002
Colombia,Latin_America_&_Caribbean,Upper_middle_income,2002,73.52,9.1,56770.0004577637,5.73,4.27,14.48,15.5,3705299.03,2237465.47,6464896.05,2002
Comoros,Sub-Saharan_Africa,Lower_middle_income,2002,59.62,12.4,109.999999403954,6.68,2.26,4.65,21.3,19697.19,218052.67,92557.05,2002
Costa_Rica,Latin_America_&_Caribbean,Upper_middle_income,2002,77.74,5.0,5519.99998092651,6.87,5.15,6.33,38.39,114123.62,102451.22,596359.49,2002
Cuba,Latin_America_&_Caribbean,Upper_middle_income,2002,77.1,2.5,26420.0000762939,7.11,9.57,3.31,40.08,350331.55,262305.99,2339264.3,2002
Cyprus,Europe_&_Central_Asia,High_income,2002,78.26,5.7,7170.00007629395,5.62,5.58,3.3,76.15,27941.92,11030.92,200501.06,2002
Germany,Europe_&_Central_Asia,High_income,2002,78.23,2.5,833380.004882813,10.18,4.87,8.48,95.83,2033518.62,883231.26,23252238.38,2002
Djibouti,Middle_East_&_North_Africa,Lower_middle_income,2002,57.24,40.8,400.000005960464,3.59,8.45,28.08,24.87,25570.56,311078.67,101464.22,2002
